num,name,price,type,sold,star,from,img_src,url
53,ใช้โค้ดAUJU202 ลดเพิ่ม 15% * ส้มโอ ส้มโอวรฉัตร (L 5 ลูก),฿700,general,6.0,5.0,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/03903067d8c79b0e01c7453aecc8d548_tn,https://shopee.co.th//ใช้โค้ดAUJU202-ลดเพิ่ม-15-*-ส้มโอ-ส้มโอวรฉัตร-(L-5-ลูก)-i.20242461.9214754154
54,แป้งสาโท สูตรอีสาน หอม หวาน แรง พร้อมสูตร 1ลูกต่อข้าว2กิโล เก็บได้นาน1ปี ส่งด่วนเคอรี่ เก็บเงินปลายทาง,฿9,ร้านแนะนำ,1000.0,4.7692,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/42e9104fe9cdae8205903f4ff1243914_tn,https://shopee.co.th//แป้งสาโท-สูตรอีสาน-หอม-หวาน-แรง-พร้อมสูตร-1ลูกต่อข้าว2กิโล-เก็บได้นาน1ปี-ส่งด่วนเคอรี่-เก็บเงินปลายทาง-i.78266336.7455332579
55,น้ำตาลโตนด ของแท้ๆ 100%  อร่อยมาก สินค้าพร้อมส่ง,฿99,general,117.0,4.7143,จังหวัดประจวบคีรีขันธ์,https://cf.shopee.co.th/file/5120e01f12abc0c3918fb4b7c65440b6_tn,https://shopee.co.th//น้ำตาลโตนด-ของแท้ๆ-100-อร่อยมาก-สินค้าพร้อมส่ง-i.12598186.2634605708
56,FRAGRANCE OIL AGARA (GRAPEFRUIT) - หัวน้ำหอมกลิ่นส้มโอ,฿105 - ฿335,general,102.0,4.7143,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/cb0468ef4d1c032e691f2668cfb6a6e3_tn,https://shopee.co.th//FRAGRANCE-OIL-AGARA-(GRAPEFRUIT)-หัวน้ำหอมกลิ่นส้มโอ-i.68846303.4002808728
57,ส้มโอขาวน้ำผึ้งของแท้จากนครปฐม,฿100,general,33.0,4.8889,จังหวัดนครปฐม,https://cf.shopee.co.th/file/7109f77c7cadc072d5f14b5b03f18402_tn,https://shopee.co.th//ส้มโอขาวน้ำผึ้งของแท้จากนครปฐม-i.205673119.7776994521
58,ส้มโอขาวใหญ่ สวนแม่วันดี เมืองอัมพวา,฿100,general,84.0,4.4545,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/7920aaeee180c04e04b0ae08e21dbedd_tn,https://shopee.co.th//ส้มโอขาวใหญ่-สวนแม่วันดี-เมืองอัมพวา-i.242406373.7026478835
59,ส้มโอแดงเวียดนามเสียบยอด สูง 40-50 ซม.,฿149,ร้านแนะนำ,30.0,4.8333,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/1490bac367ee70776ce798922996d9c7_tn,https://shopee.co.th//ส้มโอแดงเวียดนามเสียบยอด-สูง-40-50-ซม.-i.234315271.6650166679
60,สมุนไพรวังพรม ยาดมส้มโอมือ ขนาดบรรจุ 3 กรัม (จำนวน 1 โหล),฿200,shopee mall,5.0,5.0,จังหวัดนครปฐม,https://cf.shopee.co.th/file/ce4b30f886ef63abfb1ab2c871e1b514_tn,https://shopee.co.th//สมุนไพรวังพรม-ยาดมส้มโอมือ-ขนาดบรรจุ-3-กรัม-(จำนวน-1-โหล)-i.31766054.3175616829
61,ส่งด่วน!!..ส่งทุกวัน ข้าวหอมมะลิแท้ 100% ตราส้มโอ 5กก.,฿215,general,9.0,4.8,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/8194533b2e49353be218b0b6275cc401_tn,https://shopee.co.th//ส่งด่วน!!..ส่งทุกวัน-ข้าวหอมมะลิแท้-100-ตราส้มโอ-5กก.-i.224756735.7223538746
62,ส้มโอแดงเวียดนาม เสียบยอด,฿149,ร้านแนะนำ,216.0,4.7397,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/5024142d0d02568605e25bc9685b9be0_tn,https://shopee.co.th//ส้มโอแดงเวียดนาม-เสียบยอด-i.234315271.5834780706
63,ต้นกล้าส้มโอทับทิมสยาม.เพราะเมล็ด,฿25,general,28.0,5.0,จังหวัดสกลนคร,https://cf.shopee.co.th/file/80b6a90fe02bdc71457523f43f2c5a78_tn,https://shopee.co.th//ต้นกล้าส้มโอทับทิมสยาม.เพราะเมล็ด-i.276731374.6566416500
