product_id,url
B07481QLWX,https://www.amazon.com//PREMIUM-WINTER-VEGETABLE-Seeds-Cauliflower/dp/B07481QLWX/ref=sr_1_49?keywords=Chinese+broccoli&qid=1637142519&sr=8-49
B000Q5K1NK,https://www.amazon.com//Dole-Pineapple-Tidbits-its-Juice/dp/B000Q5K1NK/ref=sr_1_56?keywords=Chinese+broccoli&qid=1637142519&sr=8-56
B000N8OLCC,https://www.amazon.com//Annie-Chuns-Noodle-Chinese-Style-Instant/dp/B000N8OLCC/ref=sr_1_26?keywords=Chinese+broccoli&qid=1637142506&sr=8-26
B007C7GFNU,https://www.amazon.com//Mother-Earth-Products-Cabbage-Quart/dp/B007C7GFNU/ref=sr_1_222?keywords=Chinese+broccoli&qid=1637142560&sr=8-222
B016EDAK0Q,https://www.amazon.com//Wan-Ja-Shan-Vegetarian-Mushroom/dp/B016EDAK0Q/ref=sr_1_200?keywords=Chinese+broccoli&qid=1637142560&sr=8-200
B00FZH3IFM,https://www.amazon.com//Lee-Kum-Kee-Premium-Flavored/dp/B00FZH3IFM/ref=sr_1_181?keywords=Chinese+broccoli&qid=1637142547&sr=8-181
B005HGRWDU,https://www.amazon.com//Lee-Kum-Kee-Artificial-Cholesterol/dp/B005HGRWDU/ref=sr_1_17?keywords=Chinese+broccoli&qid=1637142506&sr=8-17
B00AR5D1EK,https://www.amazon.com//Earths-Best-Organic-Carrots-Broccoli/dp/B00AR5D1EK/ref=sr_1_10?keywords=Chinese+broccoli&qid=1637142506&sr=8-10
B08BTZD1ZD,https://www.amazon.com//Broccoli-Sprout-Powder-Antioxidant-Supplement/dp/B08BTZD1ZD/ref=sr_1_14?keywords=Chinese+broccoli&qid=1637142506&sr=8-14
B0001W2W62,https://www.amazon.com//Broccoli-Friends-Sprouting-Seed-Pound/dp/B0001W2W62/ref=sr_1_33?keywords=Chinese+broccoli&qid=1637142506&sr=8-33
B06XXQBC6Q,https://www.amazon.com//Trader-Joes-Broccoli-Florets-Pack/dp/B06XXQBC6Q/ref=sr_1_12?keywords=Chinese+broccoli&qid=1637142506&sr=8-12
B07SFYVM9B,https://www.amazon.com//Thousand-Lakes-Freeze-Fruits-Vegetables/dp/B07SFYVM9B/ref=sr_1_8?keywords=Chinese+broccoli&qid=1637142506&sr=8-8
B07SK5KVFW,https://www.amazon.com//Kikkoman-Broccoli-Beef-Seasoning-packet/dp/B07SK5KVFW/ref=sr_1_82?keywords=Chinese+broccoli&qid=1637142519&sr=8-82
B007C7EPWS,https://www.amazon.com//Mother-Earth-Products-Dried-Broccoli/dp/B007C7EPWS/ref=sr_1_15?keywords=Chinese+broccoli&qid=1637142506&sr=8-15
B00846WORO,https://www.amazon.com//Mother-Earth-Products-Freeze-Broccoli/dp/B00846WORO/ref=sr_1_25?keywords=Chinese+broccoli&qid=1637142506&sr=8-25
B07341GKCZ,https://www.amazon.com//Pressed-Pineapple-Weight-Loss-Probiotics-Prebiotics/dp/B07341GKCZ/ref=sr_1_209?keywords=Chinese+broccoli&qid=1637142560&sr=8-209
B00CLE070G,https://www.amazon.com//Sunbird-Seasoning-Beef-Broccoli-Pack/dp/B00CLE070G/ref=sr_1_46?keywords=Chinese+broccoli&qid=1637142506&sr=8-46
B000UXW988,https://www.amazon.com//Roland-Dried-Mushrooms-Mixed-Ounce/dp/B000UXW988/ref=sr_1_92?keywords=Chinese+broccoli&qid=1637142519&sr=8-92
